Measurement, Timestamp (ms), Ambient Light Intensity
1, 0, 512
1, 250, 512
1, 500, 510
1, 750, 506
1, 1000, 504
1, 1250, 500
1, 1500, 497
1, 1750, 495
1, 2000, 477
1, 2250, 460
1, 2500, 415
1, 2750, 334
1, 3000, 224
1, 3250, 143
1, 3500, 115
1, 3750, 92
1, 4000, 71
1, 4250, 64
1, 4500, 69
1, 4750, 73
1, 5000, 85
1, 5250, 90
1, 5500, 120
1, 5750, 146
1, 6000, 246
1, 6250, 409
1, 6500, 467
1, 6750, 500
1, 7000, 501
1, 7250, 503
1, 7500, 504
1, 7750, 505
1, 8000, 507
1, 8250, 508
1, 8500, 508
1, 8750, 507
1, 9000, 508
1, 9250, 508
1, 9500, 508
1, 9750, 507
2, 0, 507
2, 250, 507
2, 500, 507
2, 750, 505
2, 1000, 501
2, 1250, 501
2, 1500, 496
2, 1750, 470
2, 2000, 380
2, 2250, 270
2, 2500, 193
2, 2750, 158
2, 3000, 135
2, 3250, 110
2, 3500, 91
2, 3750, 94
2, 4000, 78
2, 4250, 91
2, 4500, 82
2, 4750, 91
2, 5000, 105
2, 5250, 131
2, 5500, 171
2, 5750, 252
2, 6000, 384
2, 6250, 454
2, 6500, 497
2, 6750, 501
2, 7000, 501
2, 7250, 505
2, 7500, 507
2, 7750, 507
2, 8000, 506
2, 8250, 506
2, 8500, 506
2, 8750, 507
2, 9000, 507
2, 9250, 507
2, 9500, 507
2, 9750, 507
3, 0, 505
3, 250, 505
3, 500, 504
3, 750, 504
3, 1000, 503
3, 1250, 503
3, 1500, 500
3, 1750, 469
3, 2000, 408
3, 2250, 356
3, 2500, 231
3, 2750, 170
3, 3000, 135
3, 3250, 115
3, 3500, 100
3, 3750, 87
3, 4000, 92
3, 4250, 84
3, 4500, 77
3, 4750, 77
3, 5000, 89
3, 5250, 103
3, 5500, 125
3, 5750, 144
3, 6000, 172
3, 6250, 307
3, 6500, 382
3, 6750, 458
3, 7000, 500
3, 7250, 504
3, 7500, 504
3, 7750, 505
3, 8000, 506
3, 8250, 506
3, 8500, 507
3, 8750, 507
3, 9000, 507
3, 9250, 507
3, 9500, 508
3, 9750, 508
4, 0, 509
4, 250, 509
4, 500, 509
4, 750, 508
4, 1000, 505
4, 1250, 503
4, 1500, 500
4, 1750, 480
4, 2000, 410
4, 2250, 348
4, 2500, 247
4, 2750, 158
4, 3000, 133
4, 3250, 119
4, 3500, 108
4, 3750, 100
4, 4000, 98
4, 4250, 96
4, 4500, 93
4, 4750, 85
4, 5000, 87
4, 5250, 88
4, 5500, 98
4, 5750, 101
4, 6000, 110
4, 6250, 132
4, 6500, 170
4, 6750, 254
4, 7000, 350
4, 7250, 424
4, 7500, 495
4, 7750, 502
4, 8000, 504
4, 8250, 504
4, 8500, 506
4, 8750, 507
4, 9000, 508
4, 9250, 509
4, 9500, 510
4, 9750, 510
5, 0, 513
5, 250, 514
5, 500, 510
5, 750, 509
5, 1000, 505
5, 1250, 502
5, 1500, 480
5, 1750, 432
5, 2000, 354
5, 2250, 215
5, 2500, 163
5, 2750, 128
5, 3000, 106
5, 3250, 100
5, 3500, 96
5, 3750, 109
5, 4000, 111
5, 4250, 110
5, 4500, 110
5, 4750, 110
5, 5000, 111
5, 5250, 109
5, 5500, 102
5, 5750, 101
5, 6000, 125
5, 6250, 173
5, 6500, 232
5, 6750, 290
5, 7000, 395
5, 7250, 477
5, 7500, 505
5, 7750, 507
5, 8000, 508
5, 8250, 510
5, 8500, 512
5, 8750, 513
5, 9000, 514
5, 9250, 515
5, 9500, 515
5, 9750, 515
6, 0, 513
6, 250, 513
6, 500, 512
6, 750, 509
6, 1000, 507
6, 1250, 505
6, 1500, 503
6, 1750, 483
6, 2000, 445
6, 2250, 388
6, 2500, 317
6, 2750, 230
6, 3000, 166
6, 3250, 150
6, 3500, 129
6, 3750, 112
6, 4000, 100
6, 4250, 94
6, 4500, 93
6, 4750, 97
6, 5000, 98
6, 5250, 96
6, 5500, 94
6, 5750, 89
6, 6000, 93
6, 6250, 90
6, 6500, 97
6, 6750, 107
6, 7000, 121
6, 7250, 144
6, 7500, 185
6, 7750, 277
6, 8000, 306
6, 8250, 359
6, 8500, 465
6, 8750, 500
6, 9000, 511
6, 9250, 512
6, 9500, 513
6, 9750, 516
7, 0, 521
7, 250, 521
7, 500, 519
7, 750, 515
7, 1000, 512
7, 1250, 509
7, 1500, 487
7, 1750, 415
7, 2000, 321
7, 2250, 213
7, 2500, 169
7, 2750, 147
7, 3000, 135
7, 3250, 116
7, 3500, 100
7, 3750, 97
7, 4000, 100
7, 4250, 94
7, 4500, 86
7, 4750, 89
7, 5000, 104
7, 5250, 93
7, 5500, 106
7, 5750, 120
7, 6000, 140
7, 6250, 164
7, 6500, 224
7, 6750, 329
7, 7000, 408
7, 7250, 472
7, 7500, 502
7, 7750, 511
7, 8000, 512
7, 8250, 513
7, 8500, 515
7, 8750, 517
7, 9000, 517
7, 9250, 518
7, 9500, 520
7, 9750, 520
8, 0, 521
8, 250, 521
8, 500, 521
8, 750, 521
8, 1000, 518
8, 1250, 515
8, 1500, 496
8, 1750, 480
8, 2000, 432
8, 2250, 360
8, 2500, 301
8, 2750, 190
8, 3000, 144
8, 3250, 111
8, 3500, 91
8, 3750, 79
8, 4000, 85
8, 4250, 76
8, 4500, 74
8, 4750, 79
8, 5000, 86
8, 5250, 92
8, 5500, 117
8, 5750, 163
8, 6000, 202
8, 6250, 335
8, 6500, 433
8, 6750, 506
8, 7000, 517
8, 7250, 518
8, 7500, 519
8, 7750, 520
8, 8000, 522
8, 8250, 524
8, 8500, 524
8, 8750, 525
8, 9000, 527
8, 9250, 530
8, 9500, 531
8, 9750, 530
9, 0, 523
9, 250, 522
9, 500, 520
9, 750, 516
9, 1000, 516
9, 1250, 480
9, 1500, 346
9, 1750, 223
9, 2000, 177
9, 2250, 142
9, 2500, 118
9, 2750, 100
9, 3000, 88
9, 3250, 69
9, 3500, 62
9, 3750, 74
9, 4000, 79
9, 4250, 63
9, 4500, 104
9, 4750, 128
9, 5000, 144
9, 5250, 171
9, 5500, 241
9, 5750, 335
9, 6000, 439
9, 6250, 506
9, 6500, 516
9, 6750, 516
9, 7000, 517
9, 7250, 518
9, 7500, 518
9, 7750, 521
9, 8000, 523
9, 8250, 524
9, 8500, 524
9, 8750, 524
9, 9000, 525
9, 9250, 526
9, 9500, 526
9, 9750, 526
10, 0, 525
10, 250, 525
10, 500, 523
10, 750, 521
10, 1000, 519
10, 1250, 520
10, 1500, 518
10, 1750, 495
10, 2000, 437
10, 2250, 340
10, 2500, 218
10, 2750, 182
10, 3000, 153
10, 3250, 143
10, 3500, 129
10, 3750, 115
10, 4000, 109
10, 4250, 95
10, 4500, 85
10, 4750, 92
10, 5000, 84
10, 5250, 78
10, 5500, 79
10, 5750, 100
10, 6000, 115
10, 6250, 124
10, 6500, 147
10, 6750, 173
10, 7000, 253
10, 7250, 332
10, 7500, 447
10, 7750, 499
10, 8000, 513
10, 8250, 514
10, 8500, 516
10, 8750, 519
10, 9000, 523
10, 9250, 526
10, 9500, 525
10, 9750, 524
